paper_part,paper_section,equation,implementation,test_name,status,metric,interpretation
Part 2,"Dimensionality Reduction, Attention, and Relevance","z_{i,t} = a_{i,t} \odot \pi_\tau(T_i, c_{i,t}, x_t)",embedding.salience_slice,salience_slice,PASS,"z=[0.30000000000000004, -2.0, 0.0, 1.7999999999999998]",Elementwise weighting behaves exactly as written; zero salience zeros the coordinate.
Part 2 / Part 3 / Part 4,The Notion of State / Towards a Universal State Transition Function / Operational Definition of State,"P(Y\mid H, T, c, w, x) = P(Y\mid q, x)",experiments.run_toy_equations.predictive_sufficiency_demo,predictive_sufficiency,PASS,"max ΔP(Y|H,x) within same q,x = 0.000000",Different histories that compress to the same q give the same future law under the same proposition in this toy process.
Part 2,Memory as a Series of Vectors,"m_{i,t} = \sum_j \omega_{ij,t} \mu_{ij}",memory.memory_field,memory_field_update,PASS,"m_t=[0.5, 0.8] -> m_t+1=[0.589, 0.778]",Memory updates smoothly when the trace weights are changed by context and similarity.
Part 2,Categorical Trace Pooling as an Operational Memory Estimator,"\widetilde{C}_{i,t}^{(f,s)} = \Xi(C_{i,t}^{(f,s)}, c_{i,t})",categorical.contextual_lift,contextual_lift,PASS,"naive_conflict=1, typed_conflict=0",Typing the asymmetry removes a false contradiction in the dummy example.
Part 2,Categorical Trace Pooling as an Operational Memory Estimator,"u_{i,t}^{(f,s)} = \frac{1}{|\widetilde{C}|} \sum_{c \in \widetilde{C}} E_{f,s}(c)",categorical.build_event_categorical_embedding,event_categorical_pooling,PASS,"event_dim=12, active_slots=3",Average pooling plus null vectors and masks keeps the event representation fixed-width.
Part 2,Categorical Trace Pooling as an Operational Memory Estimator,"g_{i,\rho}^{\mathrm{slow}} = \text{weighted regime average of } e_{i,r}^{\mathrm{cat}}",categorical.build_slow_bank,slow_regime_bank,PASS,"founder_head=[0.9, 0.1, 1.0], manager_mask=0.0",Regime-aware averaging and null fallback behave the way the paper says they should.
Part 2,Categorical Trace Pooling as an Operational Memory Estimator,"g_{i,t}^{\mathrm{fast},\tau} = \sum_{r \le t} \alpha_{i,r,t}^{(\tau)} e_{i,r}^{\mathrm{cat}}",categorical.build_fast_pool,fast_task_conditioned_pool,PASS,"alpha_sum=1.000, max_alpha=0.484","The weights normalize to one and prioritize the more recent, more decisive trace."
Part 2,Deriving the Transcendental Embedding,"\hat T_i^{(0)} = E(p_i, b_i, \ell_i, r_i, h_i, g_i^{\mathrm{slow}})",embedding.estimate_slow_embedding,slow_embedding_estimator,PASS,"T_hat=[0.018, 0.553]",The first-pass estimator is a clean weighted sum rather than a sign-confused mixture of additions and subtractions.
Part 3 / Part 4,Creating the World Model / The Proposed Latent-State Model,"\hat q_{i,t+1}^{(\tau,\Delta)} = F_\tau(\hat T_i, z_{i,t}, c_{i,t}, w_t, x_t)",state.world_model_step,projection_equivalence,PASS,||q1-q2||=0.000000,"If two propositions share the same task projection, they produce the same next-state update in the projected model."
Part 3 / Part 4,Creating the World Model / The Proposed Latent-State Model,"\hat q_{i,t+1}^{(\tau,\Delta)} = F_\tau(\hat T_i, z_{i,t}, c_{i,t}, w_t, x_t)",state.world_model_step,world_model_rollout,PASS,"q3=[0.35, 0.37]",Recursive rollout composes cleanly in a simple state-space toy model.
Part 3 / Part 4,From Forecasting to Proposition Search / Observational Ranking,"x_t^\star \in \arg\max_{x \in \mathcal X_{i,t}^{\mathrm{adm}}} \operatorname{score}_\theta(x \mid s_{i,t})",state.best_proposition,proposition_search,PASS,best=urgency,The search logic picks the highest-scoring admissible candidate proposition.
Part 3 / Part 4,Creating the World Model / The Proposed Latent-State Model,"\hat q_{i,t+1}^{(\tau,\Delta)} = F_\tau(\hat T_i, z_{i,t}, c_{i,t}, w_t, x_t)",state.world_model_step,feature_family_contribution,PASS,"ΔAUC(relevant)=0.212, ΔAUC(noise)=-0.001",Useful feature families buy signal; decorative feature families do not.
